vendor_code,vendor_name,city_id,business_line,grade
2yoyzn,کافه رستوران کاردیتو,1,Cafe,Not Enough Comments
57now2,کافه نور,1,Cafe,Not Enough Comments
2yooo9,کافه کارینو,1,Cafe,Not Enough Comments
2k37xx,کافه وی,1,Cafe,Not Enough Comments
2669l8,کافه کاز,1,Cafe,Not Enough Comments
5g9g8o,کافه رُستری آرتین,1,Cafe,Not Enough Comments
2xgzk3,کافه این دو,1,Cafe,Not Enough Comments
2myo97,سبزی مارکت,1,Fruit Shop,Not Enough Comments
5znno5,سوپر میوه زمانه,1,Fruit Shop,Not Enough Comments
27x8o5,تعاونی میوه ثارالله,1,Fruit Shop,Not Enough Comments
29nw8z,هایپر میوه نادریان,1,Fruit Shop,Not Enough Comments
2r6wll,میوه سرای قائم مقام,1,Fruit Shop,Not Enough Comments
5w737o,میوه سرای امیر ,1,Fruit Shop,Not Enough Comments
5n7my2,میوه فروشی شایسته,1,Fruit Shop,Not Enough Comments
5x4rw3,هایپر میوه فرحان,1,Fruit Shop,Not Enough Comments
2gpxk5,حلیم و شله حلیم الملک,1,Restaurant,A
56y4y2,میوه سرای بهشت,1,Fruit Shop,Not Enough Comments
2x3845,سبزیجات آماده مارچوبه,1,Fruit Shop,Not Enough Comments
5lzp3x,میوه خونه,1,Fruit Shop,Not Enough Comments
51ow95,رستوران قاسمی و پسران,1,Restaurant,A
266n7g,میوه سرای محله,1,Fruit Shop,Not Enough Comments
53133z,کبابی عبدالهی ,1,Restaurant,A
5zl7ln,سوپر میوه مرادی,1,Fruit Shop,Not Enough Comments
2mmxnx,میوه فروشی باغ بهشت ,1,Fruit Shop,Not Enough Comments
24pz42,سبزیجات آماده پاندا,1,Fruit Shop,Not Enough Comments
21yyl8,سبزیجات آماده ریحان,1,Fruit Shop,Not Enough Comments
54nw71,سبزیجات آماده تازه به تازه,1,Fruit Shop,Not Enough Comments
5myy1p,سبزیجات آماده روز به روز,1,Fruit Shop,Not Enough Comments
5mwpy5,هایپر میوه نصری,1,Fruit Shop,Not Enough Comments
59nyz4,میوه عمو حسن ,1,Fruit Shop,Not Enough Comments
566nyn,سبزیجات وتخم مرغ وخرما دهکده,1,Fruit Shop,Not Enough Comments
2w1rr8,میوه سرای برادران,1,Fruit Shop,Not Enough Comments
2311yp,میوه فروشی سلیمان زاده,1,Fruit Shop,Not Enough Comments
57m99w,سبزیجات آماده و زیتون سرای طلوع,1,Fruit Shop,Not Enough Comments
2yo6pw,هایپر میوه سیوان,1,Fruit Shop,Not Enough Comments
2313m8,سبزی مارکت بانو,1,Fruit Shop,Not Enough Comments
2mm9n9,میوه سرای پسر عمو,1,Fruit Shop,Not Enough Comments
293y62,مستر میوه,1,Fruit Shop,Not Enough Comments
5zllnm,فست فود دلنشین,1,Restaurant,A
23y8l2,میوه طاها,1,Fruit Shop,Not Enough Comments
56xw15,پیتزا برگ,1,Restaurant,A
27176g,باغ میوه,1,Fruit Shop,Not Enough Comments
